ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung;Anbieter und Referenz;;;
62;C509,C536;CP_Radial_D4.0mm_P1.50mm;2;10u;;;;
63;J601;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03_Female;;;;
64;TP501,TP502,TP503;TestPoint_Pad_1.0x1.0mm;3;TestPoint;;;;
65;U504;TSOT-23-6;1;AP2553AW6-7;;;;
66;C203;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;100p;;;;
67;C206;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;470p;;;;
68;C207,C209;C_1206_3216Metric;2;330n;;;;
69;C208;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;1u;;;;
70;C210;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;220p;;;;
71;L302;L_Wuerth_HCI-1050;1;10u Würth 7443251000;;;;
72;U203;MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm;1;TPS40210;;;;
73;R201,R_201,R_202,R_203;R_0603_1608Metric;4;100K;;;;
74;R_8;R_2010_5025Metric_Pad1.52x2.65mm_HandSolder;1;R007;;;;
75;C314;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;22p;;;;
76;D201;TO-277B;1;PS1060L;;;;
77;D301,D601;SOT-23;2;BAT54C;;;;
78;Q302,Q304,Q310,Q311;Diodes_PowerDI3333-8;4;HSBB3103;;;;
79;R308;R_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;10R;;;;
80;R2C301;R_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;700K;;;;
81;R4C301;R_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;22K;;;;
82;R9C302;R_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;6K8;;;;
83;RAC301,RSR301;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;10m;;;;
84;U301;VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias;1;BQ24610;;;;
85;U202;StepUpModul;1;StepUp;;;;
86;HS501;Heatsink_57.9x36.8mm_4xFixation3.17mm_537-95AB;1;537-95AB;;;;
87;L301;PQ2617BHA-330K;1;22uH PQ2617BHA-220K;;;;
88;U501;ST_PowerSSO-36_TDA7498;1;TDA7498L;;;;
89;U502;BK8000L;1;BK8000L;;;;
