"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
60;"R512";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"0R";;;
61;"R602";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"32K5";;;
62;"R608,R609";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"47R";;;
63;"R_CSB401";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"68m";;;
64;"Rcss401";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"33m";;;
65;"RV301";"Potentiometer_Bourns_3314J_Vertical";1;"10K";;;
66;"SW501";"DIP-4_W8.89mm_SMDSocket_LongPads";1;"DS04-254-2-02BK-SMT";;;
67;"U101";"Texas_S-PWSON-N6_ThermalVias";1;"TPS7B82-Q1";;;
68;"U201";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"BQ76920";;;
69;"U202";"TSSOP-16_4.4x5mm_P0.65mm";1;"BQ76200";;;
70;"U301";"TO-263-2";1;"L7812";;;
71;"U302";"SOIC-8_3.9x4.9mm_P1.27mm";1;"UC3843_SOIC8";;;
72;"U401";"QSOP-16_3.9x4.9mm_P0.635mm";1;"MAX1873TEEE";;;
73;"U402";"DIP-8_W7.62mm_SMDSocket_SmallPads";1;"PC827";;;
74;"U501";"ST_PowerSSO-36_SlugDown_ThermalVias";1;"TDA7498L";;;
75;"U601";"SOT-23-5_HandSoldering";1;"XC6216C";;;
76;"U701";"XS3868";1;"XS3868";;;
77;"U602";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"TDA7418";;;
78;"U102";"LQFP-48_7x7mm_P0.5mm";1;"STM32F030C6Tx_MukkeBox";;;
79;"Y101";"Crystal_SMD_HC49-SD";1;"FOXSDLF/080-20";;;
80;"F201";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"Fuse";;;
81;"J109";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"PinHeader";;;
82;"H101,H102,H103,H104,H105,H106";"MountingHole_3.2mm_M3_DIN965_Pad";6;"MountingHole_Pad";;;
83;"J104,J603";"PinHeader_2x05_P2.54mm_Vertical_SMD";2;"Conn_02x05_Odd_Even";;;
84;"J301,J302";"PinHeader_2x04_P2.54mm_Vertical";2;"Conn_02x04_Odd_Even";;;
85;"J601";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x03_Female";;;
86;"J602";"PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_02x01";;;
87;"J801";"1x04_P2.54mm_1.3OLED";1;"Conn_01x05";;;
88;"C507,C509,C517,C518,C534,C536";"C_Rect_L7.0mm_W2.5mm_P5.00mm";6;"1nF";;;
89;"C519,C520";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"470nF";;;
90;"C521,C522,C523,C524,C526,C527,C528,C529";"C_Rect_L7.0mm_W2.5mm_P5.00mm";8;"220nF";;;
91;"C533,C535,C603,C604,C605,C606,C607,C608,C609,C610,C613,C614,C615,C616";"C_Rect_L7.0mm_W2.5mm_P5.00mm";14;"100nF";;;
92;"C611";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100nF 5%";;;
93;"C212";"CP_Radial_D4.0mm_P2.00mm";1;"4.7uF";;;
94;"C304";"CP_Radial_D5.0mm_P2.50mm";1;"25uF";;;
95;"C411";"CP_Radial_D6.3mm_P2.50mm";1;"68uF";;;
96;"C412";"CP_Radial_D5.0mm_P2.50mm";1;"68uF";;;
97;"C503,C505";"CP_Radial_D4.0mm_P2.00mm";2;"2.2uF 16V";;;
98;"D101";"LED_D3.0mm";1;"LED_Small";;;
99;"G***";"Gurki50x50";1;"LOGO";;;
